date,well id,wl
8/7/2017,SDLD2,-0.60481
8/7/2017,SDLD3,-23.50866
8/7/2017,SDLD4,-25.641612
8/7/2017,SDLD5,-6.4695994
8/7/2017,SDLD6,-8.551696
8/8/2017,SDLD1,58.230333
8/8/2017,SDLD2,-0.85481
8/8/2017,SDLD3,-23.50866
8/8/2017,SDLD4,-26.581612
8/8/2017,SDLD5,-6.4895994
8/8/2017,SDLD6,-8.551696
8/9/2017,SDLD1,58.210333
8/9/2017,SDLD2,-1.10481
8/9/2017,SDLD3,-23.50866
8/9/2017,SDLD4,-27.451612
8/9/2017,SDLD5,-6.4895994
8/9/2017,SDLD6,-8.561696
8/10/2017,SDLD1,58.200333
8/10/2017,SDLD2,-1.39481
8/10/2017,SDLD3,-23.50866
8/10/2017,SDLD4,-28.251612
8/10/2017,SDLD5,-6.4895994
8/10/2017,SDLD6,-8.561696
8/11/2017,SDLD1,58.210333
8/11/2017,SDLD2,-1.82481
8/11/2017,SDLD3,-32.98866
8/11/2017,SDLD4,-29.011612
8/11/2017,SDLD5,-6.5495994
8/11/2017,SDLD6,-8.561696
8/12/2017,SDLD1,58.200333
8/12/2017,SDLD2,-2.37481
8/12/2017,SDLD3,-33.91866
8/12/2017,SDLD4,-29.731612
8/12/2017,SDLD5,-6.6195994
8/12/2017,SDLD6,-8.571696
8/13/2017,SDLD1,58.200333
8/13/2017,SDLD2,-2.81481
8/13/2017,SDLD3,-34.19866
8/13/2017,SDLD4,-30.231612
8/13/2017,SDLD5,-6.6095994
8/13/2017,SDLD6,-8.581696
8/14/2017,SDLD1,58.160333
8/14/2017,SDLD2,-3.31481
8/14/2017,SDLD3,-34.53866
8/14/2017,SDLD4,-30.471612
8/14/2017,SDLD5,-6.6895994
8/14/2017,SDLD6,-8.581696
8/15/2017,SDLD1,58.110333
8/15/2017,SDLD2,-3.82481
8/15/2017,SDLD3,-35.34866
8/15/2017,SDLD4,-31.051612
8/15/2017,SDLD5,-6.7795994
8/15/2017,SDLD6,-8.591696
8/16/2017,SDLD1,58.040333
8/16/2017,SDLD2,-4.42481
8/16/2017,SDLD3,-36.10866
8/16/2017,SDLD4,-31.601612
8/16/2017,SDLD5,-6.8695994
8/16/2017,SDLD6,-8.601696
8/17/2017,SDLD1,58.000333
8/17/2017,SDLD2,-5.00481
8/17/2017,SDLD3,-36.68866
8/17/2017,SDLD4,-32.071612
8/17/2017,SDLD5,-6.9095994
8/17/2017,SDLD6,-8.601696
8/18/2017,SDLD1,58.030333
8/18/2017,SDLD2,-5.44481
8/18/2017,SDLD3,-35.84866
8/18/2017,SDLD4,-32.021612
8/18/2017,SDLD5,-6.9395994
8/18/2017,SDLD6,-8.601696
8/19/2017,SDLD1,58.040333
8/19/2017,SDLD2,-5.76481
8/19/2017,SDLD3,-36.34866
8/19/2017,SDLD4,-32.081612
8/19/2017,SDLD5,-6.9795994
8/19/2017,SDLD6,-8.581696
8/20/2017,SDLD1,58.020333
8/20/2017,SDLD2,-6.01481
8/20/2017,SDLD3,-35.71866
8/20/2017,SDLD4,-32.071612
8/20/2017,SDLD5,-6.9995994
8/20/2017,SDLD6,-8.571696
8/21/2017,SDLD1,57.960333
8/21/2017,SDLD2,-6.28481
8/21/2017,SDLD3,-34.61866
8/21/2017,SDLD4,-31.541612
8/21/2017,SDLD5,-7.0395994
8/21/2017,SDLD6,-8.571696
8/22/2017,SDLD1,57.960333
8/22/2017,SDLD2,-6.50481
8/22/2017,SDLD3,-33.70866
8/22/2017,SDLD4,-31.021612
8/22/2017,SDLD5,-7.0495994
8/22/2017,SDLD6,-8.571696
8/23/2017,SDLD1,57.890333
8/23/2017,SDLD2,-6.73481
8/23/2017,SDLD3,-32.98866
8/23/2017,SDLD4,-30.571612
8/23/2017,SDLD5,-7.0795994
8/23/2017,SDLD6,-8.561696
8/24/2017,SDLD1,57.910333
8/24/2017,SDLD2,-6.89481
8/24/2017,SDLD3,-33.57866
8/24/2017,SDLD4,-30.581612
8/24/2017,SDLD5,-7.0495994
8/24/2017,SDLD6,-8.551696
8/25/2017,SDLD1,57.930333
8/25/2017,SDLD2,-7.04481
8/25/2017,SDLD3,-34.55866
8/25/2017,SDLD4,-31.041612
8/25/2017,SDLD5,-7.0195994
8/25/2017,SDLD6,-8.561696
8/26/2017,SDLD1,57.840333
8/26/2017,SDLD2,-7.28481
8/26/2017,SDLD3,-35.18866
8/26/2017,SDLD4,-31.541612
8/26/2017,SDLD5,-7.0295994
8/26/2017,SDLD6,-8.581696
8/27/2017,SDLD1,57.790333
8/27/2017,SDLD2,-7.44481
8/27/2017,SDLD3,-35.59866
8/27/2017,SDLD4,-31.921612
8/27/2017,SDLD5,-7.0495994
8/27/2017,SDLD6,-8.591696
8/28/2017,SDLD1,57.800333
8/28/2017,SDLD2,-7.59481
8/28/2017,SDLD3,-35.86866
8/28/2017,SDLD4,-32.201612
8/28/2017,SDLD5,-7.0695994
8/28/2017,SDLD6,-8.591696
8/29/2017,SDLD1,57.670333
8/29/2017,SDLD2,-7.87481
8/29/2017,SDLD3,-36.17866
8/29/2017,SDLD4,-32.541612
8/29/2017,SDLD5,-7.1095994
8/29/2017,SDLD6,-8.601696
8/30/2017,SDLD1,57.520333
8/30/2017,SDLD2,-8.12481
8/30/2017,SDLD3,-36.52866
8/30/2017,SDLD4,-32.811612
8/30/2017,SDLD5,-7.1295994
8/30/2017,SDLD6,-8.611696
8/31/2017,SDLD1,57.460333
8/31/2017,SDLD2,-8.38481
8/31/2017,SDLD3,-36.94866
8/31/2017,SDLD4,-33.101612
8/31/2017,SDLD5,-7.1395994
8/31/2017,SDLD6,-8.611696
9/1/2017,SDLD1,57.370333
9/1/2017,SDLD2,-8.67481
9/1/2017,SDLD3,-37.40866
9/1/2017,SDLD4,-33.381612
9/1/2017,SDLD5,-7.2095994
9/1/2017,SDLD6,-8.621696
9/2/2017,SDLD1,57.290333
9/2/2017,SDLD2,-8.94481
9/2/2017,SDLD3,-37.86866
9/2/2017,SDLD4,-33.661612
9/2/2017,SDLD5,-7.2395994
9/2/2017,SDLD6,-8.621696
9/3/2017,SDLD1,57.150333
9/3/2017,SDLD2,-9.27481
9/3/2017,SDLD3,-38.36866
9/3/2017,SDLD4,-33.971612
9/3/2017,SDLD5,-7.3095994
9/3/2017,SDLD6,-8.631696
9/4/2017,SDLD1,57.110333
9/4/2017,SDLD2,-9.50481
9/4/2017,SDLD3,-38.80866
9/4/2017,SDLD4,-34.241612
9/4/2017,SDLD5,-7.3195994
9/4/2017,SDLD6,-8.631696
9/5/2017,SDLD1,57.060333
9/5/2017,SDLD2,-9.72481
9/5/2017,SDLD3,-39.21866
9/5/2017,SDLD4,-34.481612
9/5/2017,SDLD5,-7.3095994
9/5/2017,SDLD6,-8.621696
9/6/2017,SDLD1,57.060333
9/6/2017,SDLD2,-9.97481
9/6/2017,SDLD3,-39.61866
9/6/2017,SDLD4,-34.721612
9/6/2017,SDLD5,-7.3395994
9/6/2017,SDLD6,-8.621696
9/7/2017,SDLD1,57.000333
9/7/2017,SDLD2,-10.19481
9/7/2017,SDLD3,-39.98866
9/7/2017,SDLD4,-34.951612
9/7/2017,SDLD5,-7.3495994
9/7/2017,SDLD6,-8.621696
9/8/2017,SDLD1,56.940333
9/8/2017,SDLD2,-10.44481
9/8/2017,SDLD3,-40.38866
9/8/2017,SDLD4,-35.211612
9/8/2017,SDLD5,-7.3795994
9/8/2017,SDLD6,-8.631696
9/9/2017,SDLD1,56.830333
9/9/2017,SDLD2,-10.74481
9/9/2017,SDLD3,-40.75866
9/9/2017,SDLD4,-35.471612
9/9/2017,SDLD5,-7.4295994
9/9/2017,SDLD6,-8.641696
9/10/2017,SDLD1,56.830333
9/10/2017,SDLD2,-10.95481
9/10/2017,SDLD3,-41.05866
